averageRating,numVotes
8.2,40307
7.3,15746
6.4,20985
7.8,13178
8.1,51942
8.3,102354
7.7,10860
7.9,83243
8.1,16862
8.1,11433
8.2,35533
8,49439
8.2,92448
7.6,15577
8.1,13072
8.3,149153
8.1,74164
8.1,44476
7.5,10477
8.2,23774
8.1,42516
7.9,12073
8.4,20486
7.7,43183
8,54511
7.6,12512
7.7,12776
7.3,11122
7.3,11804
8.5,153552
7.5,42885
7.8,60631
8.3,132706
7.5,10698
7.7,16518
7.6,11765
7.9,39570
7.4,16126
7.6,11112
8.2,10847
7.1,21613
7.8,23602
8,10714
8,12032
7.6,14400
7.8,53219
7.7,27308
7.9,75295
7.8,13387
